Title,Course Code,Instructor,Days,Time,Location,Description
Public Speaking and Communication: Voice as a Tool for Change,THEATER 104,Chelsea M Gregory,"M, W, F",2:00 pm - 3:59 pm,Dwinelle B45X,N/A
Fundamentals of Acting II,THEATER 109,Nancy Carlin,"M, W, F",12:00 pm - 1:59 pm,Dwinelle B45X,"Fundamentals of Acting II (Theater 109) continues working with and expands upon basic concepts introduced in Fundamentals of Acting I (Theater 10). Through exercises, improvisation, scenes, and monologues, the actor works toward the goal of increasing range, depth, and flexibility; students work on more complex texts which require in-depth research and stronger imagination to inhabit."
Fundamentals of Acting II,THEATER 109,Patrick A Russell,"M, W, F",10:00 am - 11:59 am,Zellerbach 170,"Fundamentals of Acting II (Theater 109) continues working with and expands upon basic concepts introduced in Fundamentals of Acting I (Theater 10). Through exercises, improvisation, scenes, and monologues, the actor works toward the goal of increasing range, depth, and flexibility; students work on more complex texts which require in-depth research and stronger imagination to inhabit."
Intermediate Acting: Scene Study and Style,THEATER 110A,Christopher Herold,"M, W, F",10:00 am - 11:59 am,Zellerbach 7,"While continuing the work begun in Fundamentals of Acting I and II (Theater 10 and 109), Scene Study and Style focuses on the actor’s relationship with multiple genres and forms of drama; increased focus is given to the specific demands and responsibilities of performing with heightened language and the complexities of characterization and style; emphasis is also given to achieving an understanding of dramatic action, developing technical proficiency and clarity, attaining emotional availability, and cultivating an enriched relationship with text. Through exercises, improvisation, scenes, and monologues, the actor learns how to transform intuitive creativity into performative excellence."
Intermediate Acting: Scene Study and Style,THEATER 110A,Daniel Larlham,"M, W, F",2:00 pm - 3:59 pm,Zellerbach 170,"While continuing the work begun in Fundamentals of Acting I and II (Theater 10 and 109), Scene Study and Style focuses on the actor’s relationship with multiple genres and forms of drama; increased focus is given to the specific demands and responsibilities of performing with heightened language and the complexities of characterization and style; emphasis is also given to achieving an understanding of dramatic action, developing technical proficiency and clarity, attaining emotional availability, and cultivating an enriched relationship with text. Through exercises, improvisation, scenes, and monologues, the actor learns how to transform intuitive creativity into performative excellence."
Advanced Acting Studio,THEATER 111,Christopher Herold,"M, W, F",2:00 pm - 3:59 pm,Zellerbach 7,"Advanced Acting Studio (Theater 111) finishes the acting technique progression that begins with Fundamentals of Acting I (Theater 10). Through scene-work, monologues, and exercises, the actor stretches and strengthens acting techniques, voice, movement, and speech; particular attention is given to character development and style; students also develop classical and contemporary audition material."
Performance Research Workshop: Movement for Healing,THEATER 114,Lisa Wymore,"TU, TH",10:00 am - 11:59 am,2401 Bancroft 10,N/A
Advanced Acting: Company Class: Fall Studio Workshop,THEATER 115,Margo Hall,"TU, TH",9:30 am - 12:29 pm,Dwinelle B45X,N/A
Performance Theory: Queer Performance Theory,THEATER 119,Roshanak Kheshti,"TU, TH",12:30 pm - 1:59 pm,Dwinelle 88,N/A
Performance and Culture: Resistance to Imperialism in Theater of the Americas,THEATER 121,Angela Marino,"TU, TH",11:00 am - 12:29 pm,Zellerbach 170,N/A
Performance and History: Activism and the Archives From 1492 to 1992,THEATER 125,Angela Marino,"TU, TH",2:00 pm - 3:29 pm,Wheeler 204,N/A
Intermediate Modern Dance Technique,THEATER 141,Bear Graham,"M, W, F",12:00 pm - 1:59 pm,2401 Bancroft 10,"Continued development of dance techniques. Study of body articulation and control utilizing concepts of time, space, and dynamics."
Advanced Modern Dance Technique,THEATER 142,Erik Keith Raymond Lee,"M, W, F",10:00 am - 11:59 am,2401 Bancroft 10,"Refinement of dance techniques as well as qualitative analysis and demonstration of movement with an emphasis on rhythm, dynamics, and style."
Sources of Movement,THEATER 144,SanSan Kwan,"TU, TH",12:00 pm - 1:59 pm,2401 Bancroft 10,"Beginning application of dance technique as a means of communication in the theatre. Use of basic technical fundamentals as a means of extending natural movement in rhythm, energy, and space with emphasis on style and qualitative analysis."
Choreography: Solo/Duet Showcase,THEATER 146A,Lisa Wymore,"TU, TH",2:00 pm - 3:59 pm,2401 Bancroft 10,Analysis of choreographic theories of form and structure and their practical application within solo and duet compositions
Design for Performance,THEATER 160,Arnel Sancianco,"TU, TH",12:00 pm - 1:29 pm,Jacobs Hall 10,N/A
Fundamentals of Stage Directing,THEATER 162,Timmia DeRoy,"TU, TH",11:00 am - 12:59 pm,Zellerbach 7,N/A
Special Topics: Theater Arts: Scenography: Introduction to Media Design for Live Performance,THEATER 166,Ray Oppenheimer,TU,10:00 am - 10:59 am,Zellerbach 170,N/A
Special Topics: Theater Arts: Fashioning the Zeitgeist: When Costume + Fashion = Technology,THEATER 166,Dominique Hill,"TU, TH",4:00 pm - 5:29 pm,Dwinelle 30,N/A
Technical Theater: Shop Practice: Scenery Lab (M & W),THEATER 168,Laxmi Kumaran,"M, W",2:00 pm - 4:59 pm,Zellerbach 259,"Participation in technical theater practice associated with department theater and dance productions to include workshop activities (fabrication, treatment, and installation) in one or more of: costumes, hair, make-up, scenery, properties, lighting, video, and sound for live performance."
Technical Theater: Shop Practice: Lighting Lab (W & F),THEATER 168,Laxmi Kumaran,"W, F",2:00 pm - 4:59 pm,Zellerbach 130,"Participation in technical theater practice associated with department theater and dance productions to include workshop activities (fabrication, treatment, and installation) in one or more of: costumes, hair, make-up, scenery, properties, lighting, video, and sound for live performance."
Technical Theater: Shop Practice: Lighting Lab (Tu & Th),THEATER 168,Laxmi Kumaran,"TU, TH",2:00 pm - 4:59 pm,Zellerbach 130,"Participation in technical theater practice associated with department theater and dance productions to include workshop activities (fabrication, treatment, and installation) in one or more of: costumes, hair, make-up, scenery, properties, lighting, video, and sound for live performance."
Technical Theater: Shop Practice: Costume Lab (M & W),THEATER 168,Laxmi Kumaran,"M, W",2:00 pm - 4:59 pm,Zellerbach 414,"Participation in technical theater practice associated with department theater and dance productions to include workshop activities (fabrication, treatment, and installation) in one or more of: costumes, hair, make-up, scenery, properties, lighting, video, and sound for live performance."
Advanced Technical Theater Practice,THEATER 169,Laxmi Kumaran,,,Zellerbach 258S,N/A
Stage Management: Introduction to Stage Management,THEATER 172,Rebecca Ennals,"TU, TH",12:30 pm - 1:59 pm,Dwinelle 189,N/A
Scenography: Scenic Design for Performance,THEATER 173,Arnel Sancianco,"TU, TH",2:00 pm - 3:59 pm,Zellerbach 317,"This introductory course teaches some fundamentals of scenic design. Design for live performance will be approached as an integration of all the performative tools – text, visuals, sound, space, kinetics, etc – with particular focus in this class on the overall scenographic environment. Through personal development and group explorations students will be given basic conceptual and art-making tools allowing them to evolve, communicate and realize scenic and environmental solutions. Previous art training is helpful but not essential. The student must provide most art supplies. The final evaluation will include a presentation in lieu of an exam."
Scenography: Costume Design for Performance,THEATER 174,Dominique Hill,"TU, TH",9:30 am - 10:59 am,Zellerbach 8,"This studio class explores some fundamental approaches and techniques for designing costume. Performance design will be approached as a product of all the performative tools and contexts – text, visuals, sound, space, kinetics, etc – with particular focus for this class on the scenographic role of the performer. Through personal expression and collaborative investigation students will be given some basic tools allowing them to conceptualize, communicate and realize costumes. Previous art training is helpful but not essential. The student must provide most art supplies. The final evaluation will include a presentation in lieu of an exam."
